id,name,latitude,longitude,address,description,supported_sports
43,Young Talents City Park in Ochota,52.22097,20.98476,"Grójecka St. 28/30, 02-308 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.",9
44,Kępa Swimming Pool and Recreation Centre,52.25560,20.90376,"Radiowa St. 13, 01-485 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.","8,10"
45,Victors Swimming Pool and Recreation Centre,52.16889,21.06785,"Rzeczypospolitej Ave. 33, 02-972 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.","8,10"
46,Thunder Fitness and Gym Club,52.19666,20.88470,"Traktorzystów St. 30, 02-495 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
47,Mazovia Swimming Pool and Recreation Centre,52.13099,21.10298,"Przyczółkowa St. 114, 02-968 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.",8
48,Fort Swimming Pool and Recreation Centre,52.16789,21.06569,"Rzeczypospolitej Ave. 33D, 02-972 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.",10
49,Arena Fitness and Gym Club,52.15007,21.03306,"Ciszewskiego St. 24, 02-781 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
50,Sprint City Park in Śródmieście,52.23534,21.00771,"Marszałkowska St. 107, 00-005 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,6"
51,Active Warsaw City Park in Rembertów,52.26958,21.18001,"Chruściela St. 110, 04-412 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,6,7,9"
52,Champion Sports Complex,52.27725,20.94105,"Żeromskiego St. 77, 01-882 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"2,3,9"
53,Sprint Sports Complex,52.20747,21.02246,"Puławska St. 39, 02-508 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"2,3,4,9"
54,Athlete Fitness and Gym Club,52.19443,21.01398,"Niepodległości Ave. 107/109, 02-671 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
55,Włochy District Sports and Recreation Centre 3,52.20112,20.93829,"Popularna St. 81, 02-226 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","3,4"
56,Fort Fitness and Gym Club,52.22784,21.03321,"Rozbrat St. 44A, 00-419 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
57,Fort Swimming Pool and Recreation Centre 2,52.22621,21.03432,"Rozbrat St. 34/36, 00-429 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.",8
58,Lightning Fitness and Gym Club,52.22923,21.03684,"Wilanowska St. 24, 00-422 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
59,Wawer District Sports and Recreation Centre,52.17266,21.19909,"Patriotów St. 139, 04-892 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.",1
60,Sprint City Park in Bemowo,52.23076,20.91557,"Powstańców Śląskich St. 40, 01-381 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,7,9"
61,Olympia City Park in Żoliborz,52.27879,20.97896,"Mickiewicza St. 76, 01-650 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,7"
62,Glizda Hall Calisthenics and Street Workout Zone,52.28839,20.93618,"Kasprowicza St. 78, 01-949 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.","5,9"
63,Glade Swimming Pool and Recreation Centre 2,52.16771,21.06519,"Rzeczypospolitej Ave. 33E, 02-972 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.",8
64,Brook City Park in Białołęka,52.33938,20.93984,"Odkryta St. 82A, 03-140 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,6"
65,Young Talents Fitness and Gym Club,52.28121,20.96118,"Podleśna St. 61, 01-699 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
66,Lightning Fitness and Gym Club 2,52.26362,20.88551,"Radiowa St. 27B, 01-485 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
67,Bielany District Sports and Recreation Centre,52.28284,20.96451,"Podleśna St. 59, 01-673 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.",1
68,Thunder Sports Complex,52.24028,21.19431,"Podleśna St. 63B, 05-075 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"2,3,4"
69,Warsaw Hills Sports Complex,52.23019,21.01457,"Jerozolimskie Ave. 31, 00-508 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"3,4"
70,Glade Calisthenics and Street Workout Zone,52.33033,20.93663,"Odkryta St. 26, 03-140 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.",9
71,Thunder Sports Complex 2,52.19030,21.02416,"Puławska St. 142, 02-624 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,9
72,Lightning Sports Complex,52.19009,21.14027,"Trakt Lubelski St. 113, 04-790 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,4
73,Eagle Fitness and Gym Club,52.14559,21.04224,"Dereniowa St. 13, 02-776 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
74,Athlete Swimming Pool and Recreation Centre,52.27280,21.06303,"Radzymińska St. 133, 03-576 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.",10
75,Torch City Park in Bemowo,52.25966,20.89581,"Radiowa St. 21, 01-485 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,6,7,9"
76,Bielany District Sports and Recreation Centre 2,52.27732,20.94257,"Żeromskiego St. 71/75, 01-882 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","1,4"
77,Glade Swimming Pool and Recreation Centre 3,52.28242,20.95664,"Marymoncka St. 69A, 01-802 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.","8,10"
78,Victors Fitness and Gym Club,52.27094,20.97347,"Popiełuszki St. 23, 01-595 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
79,Mokotów District Sports and Recreation Centre,52.18780,21.02270,"Puławska St. 148/150, 02-624 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.",2
80,Torch Fitness and Gym Club,52.31337,21.06689,"Głębocka St. 72, 03-287 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
81,Glizda Hall Fitness and Gym Club,52.16010,21.09104,"Vogla St. 26, 02-963 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
82,Lightning Fitness and Gym Club 3,52.15305,21.05403,"Rosoła St. 63, 02-796 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
83,Bemowo District Sports and Recreation Centre,52.26479,20.88164,"Radiowa St. 33, 01-482 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","1,4,8,10"
84,Active Warsaw Calisthenics and Street Workout Zone,52.28319,20.95591,"Marymoncka St. 79, 01-802 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.",5
85,Praga-Południe District Sports and Recreation Centre,52.24453,21.08184,"Waszyngtona St. 75, 04-076 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","4,8"
86,Warsaw Hills City Park in Ursus,52.19710,20.88575,"Traktorzystów St. 28, 02-495 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,6,7,9"
87,Mazovia Sports Complex,52.27012,20.97392,"Popiełuszki St. 21, 01-588 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"2,3,9"
88,Lightning Fitness and Gym Club 4,52.28531,20.97142,"Podleśna St. 11, 01-673 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
89,Praga-Południe District Sports and Recreation Centre 2,52.23534,21.05876,"Saska St. 89, 03-914 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","2,4"
90,Wawer District Sports and Recreation Centre 2,52.17196,21.18374,"Przewodowa St. 88, 04-895 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","1,4,8,10"
91,Vistula Calisthenics and Street Workout Zone 2,52.27022,20.98125,"Słowackiego St. 24, 01-636 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.",5
92,Mokotów District Sports and Recreation Centre 2,52.19082,21.00121,"Wołoska St. 15, 02-583 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","1,2,8,10"
93,Ursus District Sports and Recreation Centre,52.19961,20.88485,"Traktorzystów St. 26H, 02-495 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","1,4,10"
94,Parkowa Sports Complex,52.25759,21.03275,"Targowa St. 86, 03-408 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"1,3,4"
95,Athlete Fitness and Gym Club 2,52.16497,21.20868,"Patriotów St. 60C, 04-912 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
96,Mokotów District Sports and Recreation Centre 3,52.21044,21.00850,"Batorego St. 37, 02-591 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","3,8"
97,Thunder Calisthenics and Street Workout Zone 2,52.23665,21.12263,"Grochowska St. 10, 04-217 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.","5,9"
98,Arena City Park in Wola,52.23938,20.93867,"Górczewska St. 139, 01-459 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","6,7"
99,Parkowa Sports Complex 2,52.16818,21.06623,"Rzeczypospolitej Ave. 33B, 02-972 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"1,4,9"
100,Fort Sports Complex,52.22806,20.95204,"Kasprzaka St. 96, 01-234 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"1,2,4"
